Indicator,PUBLISH STATES,Year,WHO region,Country,Display Value,Numeric,Low,High,Comments
Nursing and midwifery personnel density (per 1000 population),Published,2003,Americas,Grenada,4.58,4.58,,,Includes only nurses
Physicians density (per 1000 population),Published,2008,Africa,Ethiopia,0.025,0.025,,,
Other health workers density (per 1000 population),Published,2009,Western Pacific,China,1.104,1.104,,,
Physicians density (per 1000 population),Published,2011,Africa,Kenya,0.181,0.181,,,<b>Physicians: </b>Provisional data</br><b> Country: </b>Kenya </br><b>Year: </b>2011</br><b>Value:</b>0.181</br><b> Data Source:</b> Kenya Bureau of Statistics
Other health workers density (per 1000 population),Published,2008,Western Pacific,Niue,7,7,,,
Pharmaceutical personnel density (per 1000 population),Published,2006,Western Pacific,Niue,1,1,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2011,Europe,Armenia,4.916,4.916,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>Armenia </br><b>Year: </b>2011</br><b>Value:</b>4.916</br><b> Data Source:</b> Health for all database, WHO/EURO "
Laboratory health workers density (per 1000 population),Published,2008,Africa,Malawi,0.034,0.034,,,
Nursing and midwifery personnel density (per 1000 population),Published,1994,Western Pacific,Japan,7.3055,7.3055,,,
Physicians density (per 1000 population),Published,1998,Americas,Saint Kitts and Nevis,1.07,1.07,,,
Pharmaceutical personnel density (per 1000 population),Published,2007,South-East Asia,Bhutan,0.0384,0.0384,,,
Pharmaceutical personnel density (per 1000 population),Published,2003,Europe,Turkey,0.314,0.314,,,
Nursing and midwifery personnel density (per 1000 population),Published,1999,South-East Asia,Sri Lanka,0.762,0.762,,,Includes only nurses
Health management & support workers density (per 1000 population),Published,2008,Africa,Mozambique,0.02,0.02,,,
Dentistry personnel density density (per 1000 population),Published,1997,Eastern Mediterranean,Tunisia,0.131,0.131,,,Includes only dentists
Pharmaceutical personnel density (per 1000 population),Published,2004,Western Pacific,Republic of Korea,1.116,1.116,,,Includes only pharmacists
Environmental and public health workers density (per 1000 population),Published,2005,Americas,Barbados,0.719,0.719,,,
Physicians density (per 1000 population),Published,1994,Eastern Mediterranean,Pakistan,0.5421,0.5421,,,
Dentistry personnel density density (per 1000 population),Published,2008,Americas,Uruguay,0.701,0.701,,,
Physicians density (per 1000 population),Published,2000,Americas,Suriname,0.45,0.45,,,
Physicians density (per 1000 population),Published,2006,South-East Asia,Myanmar,0.402,0.402,,,
Dentistry personnel density density (per 1000 population),Published,2000,Americas,Colombia,0.72,0.72,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2004,Africa,South Africa,0.13,0.13,,,
Laboratory health workers density (per 1000 population),Published,2004,Americas,Argentina,0.505,0.505,,,
Community and traditional health workers density (per 1000 population),Published,2004,South-East Asia,Myanmar,0.99,0.99,,,
Laboratory health workers density (per 1000 population),Published,2004,Africa,South Africa,0.04,0.04,,,
Dentistry personnel density density (per 1000 population),Published,2002,South-East Asia,India,0.05,0.05,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,1994,Americas,Ecuador,0.16,0.16,,,Includes only dentists
Nursing and midwifery personnel density (per 1000 population),Published,1993,Americas,Saint Kitts and Nevis,6.651,6.651,,,<b>Nursing and midwifery personnel: </b>Includes nurses and nurse assistants. Data for St. Kitts only.</br><b> Country: </b>Saint Kitts and Nevis</br><b>Year: </b>1993</br><b>Value:</b>6.651</br><b> Data Source:</b> Ministry of Health
Physicians density (per 1000 population),Published,2000,Americas,Ecuador,1.48,1.48,,,
Physicians density (per 1000 population),Published,2006,Americas,Grenada,0.663,0.663,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Western Pacific,Malaysia,0.402,0.402,,,
Physicians density (per 1000 population),Published,2010,Europe,Belgium,3.782,3.782,,,"<b>Physicians: </b>M?decins g?n?ralistes agr??s. M?decins sp?cialistes agr??s.</br><b> Country: </b>Belgium </br><b>Year: </b>2010</br><b>Value:</b>3.782</br><b> Data Source:</b> Service public f?d?ral Sant? publique, S?curit? de la Cha?ne alimentaire et "
Physicians density (per 1000 population),Published,2011,Europe,France,3.381,3.381,,,<b>Physicians: </b></br><b> Country: </b>France </br><b>Year: </b>2011</br><b>Value:</b>3.381</br><b> Data Source:</b> Direction recherche ?tudes ?valuation statistiques (DREES) 
Other health workers density (per 1000 population),Published,2006,Africa,United Republic of Tanzania,0.175,0.175,,,
Pharmaceutical personnel density (per 1000 population),Published,2005,Western Pacific,Singapore,0.307,0.307,,,Includes only pharmacists
Laboratory health workers density (per 1000 population),Published,1993,South-East Asia,Maldives,0.089,0.089,,,
Other health workers density (per 1000 population),Published,2008,Western Pacific,Papua New Guinea,0.36,0.36,,,
Dentistry personnel density density (per 1000 population),Published,2000,Americas,Grenada,0.17,0.17,,,
Physicians density (per 1000 population),Published,2004,Western Pacific,Japan,2.1155,2.1155,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Western Pacific,Solomon Islands,1.452,1.452,,,
Physicians density (per 1000 population),Published,2003,Western Pacific,Samoa,0.2808,0.2808,,,
Dentistry personnel density density (per 1000 population),Published,2003,Western Pacific,Singapore,0.2798,0.2798,,,
Dentistry personnel density density (per 1000 population),Published,2002,Americas,Canada,1.0996,1.0996,,,
Community and traditional health workers density (per 1000 population),Published,2009,Americas,Belize,0.543,0.543,,,
Dentistry personnel density density (per 1000 population),Published,2006,Americas,Brazil,1.15,1.15,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2010,Europe,Romania,0.609,0.609,,,
Pharmaceutical personnel density (per 1000 population),Published,1996,Europe,Croatia,0.36,0.36,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,1998,Americas,Ecuador,1.66,1.66,,,
Dentistry personnel density density (per 1000 population),Published,1999,Eastern Mediterranean,Pakistan,0.0265,0.0265,,,
Pharmaceutical personnel density (per 1000 population),Published,1994,Europe,Turkey,0.296,0.296,,,Includes only pharmacists
Health management & support workers density (per 1000 population),Published,2005,Eastern Mediterranean,Oman,1.556,1.556,,,
Nursing and midwifery personnel density (per 1000 population),Published,2005,Eastern Mediterranean,Qatar,6.0024,6.0024,,,Includes only nurses
Health management & support workers density (per 1000 population),Published,2006,Eastern Mediterranean,Syrian Arab Republic,0.5576,0.5576,,,
Dentistry personnel density density (per 1000 population),Published,1995,South-East Asia,Thailand,0.05,0.05,,,Includes only dentists
Community and traditional health workers density (per 1000 population),Published,2008,Africa,Sierra Leone,0.022,0.022,,,
Laboratory health workers density (per 1000 population),Published,1992,South-East Asia,Indonesia,0.026,0.026,,,
Laboratory health workers density (per 1000 population),Published,2006,Western Pacific,Australia,0.514,0.514,,,
Physicians density (per 1000 population),Published,2009,Africa,Rwanda,0.056,0.056,,,
Other health workers density (per 1000 population),Published,2004,Africa,Comoros,0.01,0.01,,,
Health management & support workers density (per 1000 population),Published,2001,Western Pacific,Australia,25.23,25.23,,,
Environmental and public health workers density (per 1000 population),Published,2007,South-East Asia,Sri Lanka,0.114,0.114,,,
Other health workers density (per 1000 population),Published,2002,Americas,Paraguay,0.39,0.39,,,
Nursing and midwifery personnel density (per 1000 population),Published,2006,Americas,Trinidad and Tobago,3.536,3.536,,,Includes only nurses
Physicians density (per 1000 population),Published,2003,Africa,Gambia,0.11,0.11,,,
Dentistry personnel density density (per 1000 population),Published,1997,Americas,Saint Kitts and Nevis,0.233,0.233,,,Includes only dentists
Dentistry personnel density density (per 1000 population),Published,2004,Eastern Mediterranean,Libya,0.1502,0.1502,,,
Community and traditional health workers density (per 1000 population),Published,2004,South-East Asia,Nepal,0.63,0.63,,,
Pharmaceutical personnel density (per 1000 population),Published,2009,Africa,Swaziland,0.05,0.05,,,
Pharmaceutical personnel density (per 1000 population),Published,2011,Africa,South Africa,0.369,0.369,,,
Physicians density (per 1000 population),Published,2008,Americas,Canada,1.98,1.98,,,
Other health workers density (per 1000 population),Published,1992,South-East Asia,Indonesia,0.214,0.214,,,
Physicians density (per 1000 population),Published,1998,Western Pacific,Japan,1.9657,1.9657,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Mauritius,1.16,1.16,,,
Physicians density (per 1000 population),Published,2009,Western Pacific,Nauru,0.71,0.71,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,South-East Asia,Nepal,0.01,0.01,,,
Other health workers density (per 1000 population),Published,2005,Africa,Zambia,1.062,1.062,,,
Other health workers density (per 1000 population),Published,2005,South-East Asia,Myanmar,0.035,0.035,,,
Other health workers density (per 1000 population),Published,2005,South-East Asia,Sri Lanka,0.061,0.061,,,
Health management & support workers density (per 1000 population),Published,2007,Eastern Mediterranean,Kuwait,4.259,4.259,,,
Physicians density (per 1000 population),Published,2009,Europe,Andorra,3.912,3.912,,,
Environmental and public health workers density (per 1000 population),Published,2008,South-East Asia,Myanmar,0.039,0.039,,,
Other health workers density (per 1000 population),Published,2010,Western Pacific,Singapore,0.527,0.527,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Europe,Uzbekistan,0.04,0.04,,,
Dentistry personnel density density (per 1000 population),Published,2000,Eastern Mediterranean,Tunisia,0.138,0.138,,,
Environmental and public health workers density (per 1000 population),Published,2006,Americas,Grenada,0.702,0.702,,,
Physicians density (per 1000 population),Published,1999,Western Pacific,Solomon Islands,0.13,0.13,,,
Pharmaceutical personnel density (per 1000 population),Published,1990,Eastern Mediterranean,Tunisia,0.151,0.151,,,Includes only pharmacists
Health management & support workers density (per 1000 population),Published,2002,Americas,Ecuador,1.16,1.16,,,
Nursing and midwifery personnel density (per 1000 population),Published,1996,South-East Asia,Sri Lanka,0.776,0.776,,,Includes only nurses
Dentistry personnel density density (per 1000 population),Published,2001,Western Pacific,Cook Islands,0.56,0.56,,,
Other health workers density (per 1000 population),Published,2004,South-East Asia,Bhutan,0.06,0.06,,,
Physicians density (per 1000 population),Published,1990,Europe,Turkey,0.879,0.879,,,
Dentistry personnel density density (per 1000 population),Published,2005,South-East Asia,Myanmar,0.035,0.035,,,
Physicians density (per 1000 population),Published,2009,Africa,Malawi,0.019,0.019,,,
Dentistry personnel density density (per 1000 population),Published,2008,Africa,Guinea-Bissau,0.003,0.003,,,
Community and traditional health workers density (per 1000 population),Published,2004,Africa,Zimbabwe,0.04,0.04,,,
Other health workers density (per 1000 population),Published,2007,Eastern Mediterranean,Kuwait,2.519,2.519,,,
Environmental and public health workers density (per 1000 population),Published,1995,Eastern Mediterranean,Oman,0.085,0.085,,,
Physicians density (per 1000 population),Published,2000,Western Pacific,Palau,1.5789,1.5789,,,
Physicians density (per 1000 population),Published,2008,Western Pacific,Tonga,0.55,0.55,,,
Physicians density (per 1000 population),Published,2008,Eastern Mediterranean,Tunisia,1.16,1.16,,,
Pharmaceutical personnel density (per 1000 population),Published,2007,South-East Asia,Maldives,0.824,0.824,,,
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Guinea,0.02,0.02,,,
Nursing and midwifery personnel density (per 1000 population),Published,1999,Africa,Botswana,2.942,2.942,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Botswana </br><b>Year: </b>1999</br><b>Value:</b>2.942</br><b> Data Source:</b> Central Statistics Office
Community and traditional health workers density (per 1000 population),Published,2001,Western Pacific,China,0.08,0.08,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Africa,Ethiopia,0.253,0.253,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Ethiopia </br><b>Year: </b>2009</br><b>Value:</b>0.253</br><b> Data Source:</b> Federal Ministry of Health
Dentistry personnel density density (per 1000 population),Published,1997,Americas,Colombia,0.65,0.65,,,Includes only dentists
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Sierra Leone,0.03,0.03,,,
Physicians density (per 1000 population),Published,1996,Europe,Hungary,3.441,3.441,,,
Physicians density (per 1000 population),Published,2000,Americas,Guyana,0.48,0.48,,,
Laboratory health workers density (per 1000 population),Published,2008,Americas,Canada,1.1,1.1,,,
Laboratory health workers density (per 1000 population),Published,1997,Eastern Mediterranean,Yemen,0.074,0.074,,,
Dentistry personnel density density (per 1000 population),Published,2010,Americas,Colombia,0.92,0.92,,,
Other health workers density (per 1000 population),Published,2008,Americas,Chile,0.61,0.61,,,
Physicians density (per 1000 population),Published,2005,South-East Asia,Sri Lanka,0.492,0.492,,,
Physicians density (per 1000 population),Published,1997,Americas,Ecuador,1.34,1.34,,,
Laboratory health workers density (per 1000 population),Published,1999,Americas,El Salvador,0.148,0.148,,,
Health management & support workers density (per 1000 population),Published,2005,Africa,Gambia,0.134,0.134,,,
Dentistry personnel density density (per 1000 population),Published,2005,South-East Asia,India,0.05,0.05,,,Includes only dentists
Pharmaceutical personnel density (per 1000 population),Published,2010,Western Pacific,Japan,2.153,2.153,,,
Dentistry personnel density density (per 1000 population),Published,1998,Western Pacific,Palau,1.33,1.33,,,Includes only dentists
Nursing and midwifery personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Bahrain,3.843,3.843,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Bahrain </br><b>Year: </b>2009</br><b>Value:</b>3.843</br><b> Data Source:</b> Ministry of Health
Environmental and public health workers density (per 1000 population),Published,2011,Africa,South Africa,0.065,0.065,,,
Other health workers density (per 1000 population),Published,2010,Eastern Mediterranean,Afghanistan,0.341,0.341,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Africa,Guinea-Bissau,0.585,0.585,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Guinea-Bissau </br><b>Year: </b>2009</br><b>Value:</b>0.585</br><b> Data Source:</b> Direc??o de Recursos Humanos e Administra??o em Sa?de
Other health workers density (per 1000 population),Published,2009,Eastern Mediterranean,Bahrain,0.413,0.413,,,
Physicians density (per 1000 population),Published,2005,Africa,C?te d'Ivoire,0.094,0.094,,,
Health management & support workers density (per 1000 population),Published,2004,South-East Asia,Myanmar,0.99,0.99,,,
Nursing and midwifery personnel density (per 1000 population),Published,1995,Americas,United States of America,8.798,8.798,,,Includes only nurses
Nursing and midwifery personnel density (per 1000 population),Published,2001,Europe,Turkey,1.649,1.649,,,<b>Nursing and midwifery personnel: </b>Includes public and private sectors.  Includes village midwives.</br><b> Country: </b>Turkey </br><b>Year: </b>2001</br><b>Value:</b>1.649</br><b> Data Source:</b> Ministry of Health
Laboratory health workers density (per 1000 population),Published,2007,Africa,Cabo Verde,0.091,0.091,,,
Nursing and midwifery personnel density (per 1000 population),Published,2001,Americas,Venezuela (Bolivarian Republic of),1.1312,1.1312,,,
Dentistry personnel density density (per 1000 population),Published,2000,Americas,Saint Kitts and Nevis,0.4047,0.4047,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Americas,Dominican Republic,0.4,0.4,,,
Physicians density (per 1000 population),Published,1990,Europe,Hungary,3.173,3.173,,,
Community and traditional health workers density (per 1000 population),Published,2004,Africa,Swaziland,4.34,4.34,,,
Physicians density (per 1000 population),Published,2008,Western Pacific,Brunei Darussalam,1.417,1.417,,,
Other health workers density (per 1000 population),Published,1999,Americas,El Salvador,0.34,0.34,,,
Physicians density (per 1000 population),Published,2007,South-East Asia,Maldives,1.595,1.595,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Americas,Saint Kitts and Nevis,0.5,0.5,,,
Other health workers density (per 1000 population),Published,2007,Americas,Trinidad and Tobago,0.075,0.075,,,
Laboratory health workers density (per 1000 population),Published,2001,Americas,Bolivia (Plurinational State of),0.06,0.06,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Western Pacific,Australia,9.589,9.589,,,
Dentistry personnel density density (per 1000 population),Published,2007,Africa,Mali,0.001,0.001,,,Includes only technicians/assistants
Dentistry personnel density density (per 1000 population),Published,2001,Eastern Mediterranean,Kuwait,0.29,0.29,,,Includes only dentists
Physicians density (per 1000 population),Published,2000,South-East Asia,India,0.55,0.55,,,
Community and traditional health workers density (per 1000 population),Published,2003,Africa,Gambia,0.68,0.68,,,
Laboratory health workers density (per 1000 population),Published,2009,Eastern Mediterranean,Oman,0.796,0.796,,,
Pharmaceutical personnel density (per 1000 population),Published,2011,Europe,Spain,0.923,0.923,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Western Pacific,Tonga,3.67,3.67,,,
Physicians density (per 1000 population),Published,2004,Europe,Turkey,1.343,1.343,,,
Physicians density (per 1000 population),Published,2011,Europe,Luxembourg,2.779,2.779,,,"<b>Physicians: </b>Includes practising physicians</br><b> Country: </b>Luxembourg </br><b>Year: </b>2011</br><b>Value:</b>2.779</br><b> Data Source:</b> Health for all database, WHO/EURO "
Environmental and public health workers density (per 1000 population),Published,2008,South-East Asia,Bhutan,0.016,0.016,,,
Physicians density (per 1000 population),Published,2004,South-East Asia,Bangladesh,0.26,0.26,,,
Physicians density (per 1000 population),Published,2006,Americas,Brazil,1.694,1.694,,,
Environmental and public health workers density (per 1000 population),Published,2002,Africa,Algeria,0.08,0.08,,,
Dentistry personnel density density (per 1000 population),Published,2008,Western Pacific,Cambodia,0.017,0.017,,,
Physicians density (per 1000 population),Published,1996,Americas,Cuba,5.46,5.46,,,
Health management & support workers density (per 1000 population),Published,2004,Africa,Liberia,0.15,0.15,,,
Physicians density (per 1000 population),Published,2010,Europe,Poland,2.068,2.068,,,<b>Physicians: </b></br><b> Country: </b>Poland </br><b>Year: </b>2010</br><b>Value:</b>2.068</br><b> Data Source:</b> Ministry of Health and Central Statistical Office
Pharmaceutical personnel density (per 1000 population),Published,2009,Africa,Mali,0.008,0.008,,,
Health management & support workers density (per 1000 population),Published,2000,Americas,Barbados,0.022,0.022,,,
Physicians density (per 1000 population),Published,1991,Europe,Croatia,1.934,1.934,,,
Nursing and midwifery personnel density (per 1000 population),Published,1997,Eastern Mediterranean,Oman,2.425,2.425,,,Includes only nurses
Dentistry personnel density density (per 1000 population),Published,2008,Africa,Nigeria,0.027,0.027,,,
Laboratory health workers density (per 1000 population),Published,2008,Africa,Gambia,0.07,0.07,,,
Dentistry personnel density density (per 1000 population),Published,1998,Eastern Mediterranean,Oman,0.038,0.038,,,Includes only dentists
Other health workers density (per 1000 population),Published,1998,Eastern Mediterranean,Tunisia,2.867,2.867,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Eastern Mediterranean,Tunisia,0.304,0.304,,,
Other health workers density (per 1000 population),Published,2006,Western Pacific,Australia,10.448,10.448,,,
Other health workers density (per 1000 population),Published,2004,Africa,Liberia,0.15,0.15,,,
Health management & support workers density (per 1000 population),Published,2007,Africa,Cameroon,0.001,0.001,,,
Pharmaceutical personnel density (per 1000 population),Published,2003,Africa,Lesotho,0.03,0.03,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Americas,Honduras,0.14,0.14,,,
Health management & support workers density (per 1000 population),Published,2004,Africa,Niger,0.02,0.02,,,
Pharmaceutical personnel density (per 1000 population),Published,1994,Americas,Ecuador,0.02,0.02,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2010,Eastern Mediterranean,Afghanistan,0.023,0.023,,,
Nursing and midwifery personnel density (per 1000 population),Published,2006,Western Pacific,Japan,4.143,4.143,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Africa,Swaziland,0.044,0.044,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2010,Americas,Guyana,0.531,0.531,,,<b>Nursing and midwifery personnel: </b>Includes nurses from public sector only.</br><b> Country: </b>Guyana </br><b>Year: </b>2010</br><b>Value:</b>0.531</br><b> Data Source:</b> Ministry of Health
Laboratory health workers density (per 1000 population),Published,2007,Africa,Nigeria,0.182,0.182,,,
Community and traditional health workers density (per 1000 population),Published,2002,Americas,Grenada,0.56,0.56,,,
Nursing and midwifery personnel density (per 1000 population),Published,2001,Eastern Mediterranean,Jordan,3.07,3.07,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Jordan </br><b>Year: </b>2001</br><b>Value:</b>3.07</br><b> Data Source:</b> Ministry of Health
Other health workers density (per 1000 population),Published,2005,Eastern Mediterranean,Djibouti,0.204,0.204,,,
Community and traditional health workers density (per 1000 population),Published,2002,Africa,Algeria,0.03,0.03,,,
Other health workers density (per 1000 population),Published,2003,Africa,Ethiopia,0.1,0.1,,,
Pharmaceutical personnel density (per 1000 population),Published,2012,South-East Asia,Indonesia,0.104,0.104,,,
Health management & support workers density (per 1000 population),Published,2008,Africa,Zimbabwe,0.446,0.446,,,
Dentistry personnel density density (per 1000 population),Published,2006,Americas,Colombia,0.84,0.84,,,Includes only dentists
Pharmaceutical personnel density (per 1000 population),Published,2004,Eastern Mediterranean,Jordan,3.14,3.14,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Africa,Burkina Faso,0.729,0.729,,,
Dentistry personnel density density (per 1000 population),Published,2008,Eastern Mediterranean,Libya,0.33,0.33,,,Includes only dentists
Community and traditional health workers density (per 1000 population),Published,1996,Americas,Saint Kitts and Nevis,0.386,0.386,,,
Dentistry personnel density density (per 1000 population),Published,2010,Europe,Norway,0.906,0.906,,,
Physicians density (per 1000 population),Published,2005,Eastern Mediterranean,Egypt,2.4299,2.4299,,,
Other health workers density (per 1000 population),Published,2005,Americas,United States of America,4.943,4.943,,,
Other health workers density (per 1000 population),Published,1997,Europe,Turkey,0.608,0.608,,,
Physicians density (per 1000 population),Published,2006,Africa,Congo,0.19,0.19,,,
Laboratory health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Egypt,0.27,0.27,,,
Physicians density (per 1000 population),Published,1999,Africa,Botswana,0.299,0.299,,,
Environmental and public health workers density (per 1000 population),Published,2005,Africa,Rwanda,0.004,0.004,,,
Other health workers density (per 1000 population),Published,2008,Africa,Zimbabwe,0.11,0.11,,,
Environmental and public health workers density (per 1000 population),Published,2002,Americas,Canada,0.0364,0.0364,,,
Dentistry personnel density density (per 1000 population),Published,2008,Eastern Mediterranean,Bahrain,0.357,0.357,,,
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Guinea,0.01,0.01,,,
Community and traditional health workers density (per 1000 population),Published,2010,South-East Asia,Myanmar,0.189,0.189,,,
Pharmaceutical personnel density (per 1000 population),Published,2006,Eastern Mediterranean,Afghanistan,0.027,0.027,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2006,Eastern Mediterranean,Sudan,0.0413,0.0413,,,
Physicians density (per 1000 population),Published,2006,Europe,Kazakhstan,3.883,3.883,,,
Nursing and midwifery personnel density (per 1000 population),Published,2003,Western Pacific,Samoa,1.7415,1.7415,,,
Dentistry personnel density density (per 1000 population),Published,1994,Europe,Turkey,0.185,0.185,,,Includes only dentists
Physicians density (per 1000 population),Published,2006,Africa,Gambia,0.112,0.112,,,
Nursing and midwifery personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Tunisia,3.28,3.28,,,
Nursing and midwifery personnel density (per 1000 population),Published,2004,Western Pacific,Singapore,4.479,4.479,,,
Dentistry personnel density density (per 1000 population),Published,2004,Western Pacific,Republic of Korea,1.375,1.375,,,
Physicians density (per 1000 population),Published,2011,Africa,South Africa,0.758,0.758,,,<b>Physicians: </b></br><b> Country: </b>South Africa </br><b>Year: </b>2011</br><b>Value:</b>0.758</br><b> Data Source:</b> Health Professions Council of South Africa
Laboratory health workers density (per 1000 population),Published,2008,Africa,Burkina Faso,0.035,0.035,,,
Physicians density (per 1000 population),Published,2004,Africa,Equatorial Guinea,0.3,0.3,,,
Nursing and midwifery personnel density (per 1000 population),Published,2006,Western Pacific,Palau,5.9,5.9,,,
Laboratory health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Jordan,1,1,,,
Nursing and midwifery personnel density (per 1000 population),Published,2003,Western Pacific,Fiji,1.9785,1.9785,,,Includes only nurses
Physicians density (per 1000 population),Published,1996,Western Pacific,Australia,2.516,2.516,,,
Health management & support workers density (per 1000 population),Published,2004,Eastern Mediterranean,Djibouti,0.33,0.33,,,
Physicians density (per 1000 population),Published,2004,Africa,Eritrea,0.05,0.05,,,
Physicians density (per 1000 population),Published,2002,Western Pacific,Mongolia,2.63,2.63,,,
Physicians density (per 1000 population),Published,2001,Eastern Mediterranean,Jordan,2.05,2.05,,,
Physicians density (per 1000 population),Published,2009,Europe,Kazakhstan,4.099,4.099,,,
Community and traditional health workers density (per 1000 population),Published,1994,Eastern Mediterranean,Pakistan,0.0336,0.0336,,,
Physicians density (per 1000 population),Published,2005,Americas,Mexico,1.75,1.75,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Africa,Mozambique,0.34,0.34,,,
Community and traditional health workers density (per 1000 population),Published,1999,Africa,Botswana,0.457,0.457,,,
Pharmaceutical personnel density (per 1000 population),Published,1998,Eastern Mediterranean,Jordan,0.759,0.759,,,Includes only pharmacists
Laboratory health workers density (per 1000 population),Published,2010,Africa,Mali,0.031,0.031,,,
Pharmaceutical personnel density (per 1000 population),Published,2010,Europe,Cyprus,0.205,0.205,,,
Other health workers density (per 1000 population),Published,1995,Western Pacific,Lao People's Democratic Republic,0.598,0.598,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Americas,Chile,0.15,0.15,,,
Physicians density (per 1000 population),Published,2006,Eastern Mediterranean,Djibouti,0.229,0.229,,,
Health management & support workers density (per 1000 population),Published,2010,Western Pacific,China,0.701,0.701,,,
Health management & support workers density (per 1000 population),Published,2008,Western Pacific,Tuvalu,0.36,0.36,,,
Pharmaceutical personnel density (per 1000 population),Published,1997,Eastern Mediterranean,Libya,0.25,0.25,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2001,Eastern Mediterranean,Qatar,0.9,0.9,,,Includes only pharmacists
Other health workers density (per 1000 population),Published,2011,Europe,Republic of Moldova,7.742,7.742,,,
Physicians density (per 1000 population),Published,2002,Americas,El Salvador,1.24,1.24,,,
Other health workers density (per 1000 population),Published,1995,Africa,Zimbabwe,0.01,0.01,,,
Other health workers density (per 1000 population),Published,2004,Africa,Namibia,0.3,0.3,,,
Dentistry personnel density density (per 1000 population),Published,2009,Americas,Peru,0.12,0.12,,,
Physicians density (per 1000 population),Published,2009,Africa,Swaziland,0.17,0.17,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Eastern Mediterranean,Afghanistan,0.073,0.073,,,"<b>Nursing and midwifery personnel: </b>Includes only midwives in the Ministry of Public Health</br><b> Country: </b>Afghanistan </br><b>Year: </b>2010</br><b>Value:</b>0.073</br><b> Data Source:</b> Afghanistan Statistical Yearbook, 2010-12"
Pharmaceutical personnel density (per 1000 population),Published,2005,Eastern Mediterranean,Iran (Islamic Republic of),0.1999,0.1999,,,
Pharmaceutical personnel density (per 1000 population),Published,1996,Eastern Mediterranean,Tunisia,0.169,0.169,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2009,Eastern Mediterranean,Bahrain,0.239,0.239,,,Includes only pharmacists
Other health workers density (per 1000 population),Published,2007,Europe,Kazakhstan,8.781,8.781,,,
Environmental and public health workers density (per 1000 population),Published,2010,Western Pacific,Malaysia,0.117,0.117,,,
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Madagascar,0.01,0.01,,,
Laboratory health workers density (per 1000 population),Published,2009,Africa,Guinea-Bissau,0.116,0.116,,,
Dentistry personnel density density (per 1000 population),Published,2003,Western Pacific,Samoa,0.0561,0.0561,,,
Physicians density (per 1000 population),Published,2004,Africa,Comoros,0.15,0.15,,,
Pharmaceutical personnel density (per 1000 population),Published,2003,Europe,Tajikistan,0.109,0.109,,,
Dentistry personnel density density (per 1000 population),Published,2004,Eastern Mediterranean,Sudan,0.03,0.03,,,
Dentistry personnel density density (per 1000 population),Published,1999,Eastern Mediterranean,Djibouti,0.009,0.009,,,Includes only dentists
Physicians density (per 1000 population),Published,2006,Western Pacific,Viet Nam,1.191,1.191,,,
Other health workers density (per 1000 population),Published,2010,Americas,Cuba,5.34,5.34,,,
